Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,1.000000,49.884200,0.037950,46.323269,46.770042,47.457239,48.608247,49.884200,51.160153,52.311161,52.998358,53.445131
1,1,1.000000,54.724400,0.035570,51.062945,51.522330,52.228927,53.412427,54.724400,56.036373,57.219873,57.926470,58.385855
1,2,1.000000,58.424900,0.034240,54.662019,55.134129,55.860299,57.076584,58.424900,59.773216,60.989501,61.715671,62.187781
1,3,1.000000,61.429200,0.033280,57.583752,58.066222,58.808326,60.051299,61.429200,62.807101,64.050074,64.792178,65.274648
1,4,1.000000,63.886000,0.032570,59.972077,60.463138,61.218457,62.483563,63.886000,65.288437,66.553543,67.308862,67.799923
1,5,1.000000,65.902600,0.032040,61.930832,62.429151,63.195632,64.479436,65.902600,67.325764,68.609568,69.376049,69.874368
1,6,1.000000,67.623600,0.031650,63.597720,64.102828,64.879752,66.181047,67.623600,69.066153,70.367448,71.144372,71.649480
1,7,1.000000,69.164500,0.031390,65.080710,65.593084,66.381184,67.701196,69.164500,70.627804,71.947816,72.735916,73.248290
1,8,1.000000,70.599400,0.031240,66.450807,66.971311,67.771917,69.112876,70.599400,72.085924,73.426883,74.227489,74.747993
1,9,1.000000,71.968700,0.031170,67.749120,68.278530,69.092835,70.456740,71.968700,73.480660,74.844565,75.658870,76.188280
1,10,1.000000,73.281200,0.031180,68.983288,69.522527,70.351948,71.741172,73.281200,74.821228,76.210452,77.039873,77.579112
1,11,1.000000,74.538800,0.031250,70.157316,70.707040,71.552589,72.968827,74.538800,76.108773,77.525011,78.370560,78.920284
1,12,1.000000,75.748800,0.031370,71.279093,71.839885,72.702461,74.147214,75.748800,77.350386,78.795139,79.657715,80.218507
1,13,1.000000,76.918600,0.031540,72.355270,72.927809,73.808452,75.283467,76.918600,78.553733,80.028748,80.909391,81.481930
1,14,1.000000,78.049700,0.031740,73.389903,73.974546,74.873805,76.380001,78.049700,79.719399,81.225595,82.124854,82.709497
1,15,1.000000,79.145800,0.031970,74.386322,74.983471,75.901967,77.440384,79.145800,80.851216,82.389633,83.308129,83.905278
1,16,1.000000,80.211300,0.032220,75.350028,75.959949,76.898089,78.469409,80.211300,81.953191,83.524511,84.462651,85.072572
1,17,1.000000,81.248700,0.032500,76.281764,76.904941,77.863473,79.468947,81.248700,83.028453,84.633927,85.592459,86.215636
1,18,1.000000,82.258700,0.032790,77.185149,77.821703,78.800809,80.440745,82.258700,84.076655,85.716591,86.695697,87.332251
1,19,1.000000,83.241800,0.033100,78.059074,78.709326,79.709501,81.384725,83.241800,85.098875,86.774099,87.774274,88.424526
1,20,1.000000,84.199600,0.033420,78.906559,79.570651,80.592115,82.302997,84.199600,86.096203,87.807085,88.828549,89.492641
1,21,1.000000,85.134800,0.033760,79.728522,80.406822,81.450139,83.197622,85.134800,87.071978,88.819461,89.862778,90.541078
1,22,1.000000,86.047700,0.034100,80.528420,81.220897,82.286022,84.070031,86.047700,88.025369,89.809378,90.874503,91.566980
1,23,1.000000,86.941000,0.034450,81.307184,82.014032,83.101259,84.922291,86.941000,88.959709,90.780741,91.867968,92.574816
1,24,1.000000,87.816100,0.034790,82.069415,82.790424,83.899433,85.756948,87.816100,89.875252,91.732767,92.841776,93.562785
2,0,1.000000,49.147700,0.037900,45.643965,46.083562,46.759721,47.892242,49.147700,50.403158,51.535679,52.211838,52.651435
2,1,1.000000,53.687200,0.036400,50.011323,50.472518,51.181898,52.370060,53.687200,55.004340,56.192502,56.901882,57.363077
2,2,1.000000,57.067300,0.035680,53.237281,53.717815,54.456941,55.694927,57.067300,58.439673,59.677659,60.416785,60.897319
2,3,1.000000,59.802900,0.035200,55.843278,56.340073,57.104210,58.384088,59.802900,61.221712,62.501590,63.265727,63.762522
2,4,1.000000,62.089900,0.034860,58.018562,58.529373,59.315070,60.631058,62.089900,63.548742,64.864730,65.650427,66.161238
2,5,1.000000,64.030100,0.034630,59.859241,60.382539,61.187441,62.535598,64.030100,65.524602,66.872759,67.677661,68.200959
2,6,1.000000,65.731100,0.034480,61.467986,62.002858,62.825565,64.203541,65.731100,67.258659,68.636635,69.459342,69.994214
2,7,1.000000,67.287300,0.034410,62.932115,63.478539,64.319014,65.726750,67.287300,68.847850,70.255586,71.096061,71.642485
2,8,1.000000,68.749800,0.034400,64.301248,64.859386,65.717879,67.155795,68.749800,70.343805,71.781721,72.640214,73.198352
2,9,1.000000,70.143500,0.034440,65.599489,66.169604,67.046519,68.515290,70.143500,71.771710,73.240481,74.117396,74.687511
2,10,1.000000,71.481800,0.034520,66.840335,67.422677,68.318399,69.818670,71.481800,73.144930,74.645201,75.540923,76.123265
2,11,1.000000,72.771000,0.034640,68.029399,68.624305,69.539351,71.071989,72.771000,74.470011,76.002649,76.917695,77.512601
2,12,1.000000,74.015000,0.034790,69.171459,69.779155,70.713873,72.279462,74.015000,75.750538,77.316127,78.250845,78.858541
2,13,1.000000,75.217600,0.034960,70.271309,70.891896,71.846443,73.445245,75.217600,76.989955,78.588757,79.543304,80.163891
2,14,1.000000,76.381700,0.035140,71.332996,71.966433,72.940744,74.572648,76.381700,78.190752,79.822656,80.796967,81.430404
