Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,0,0.348700,3.346400,0.146020,2.507192,2.603933,2.757427,3.027506,3.346400,3.686404,4.011746,4.214610,4.350016
1,1,0.229700,4.470900,0.133950,3.448863,3.566091,3.752368,4.081066,4.470900,4.888809,5.291032,5.543036,5.711766
1,2,0.197000,5.567500,0.123850,4.386226,4.522259,4.738091,5.118069,5.567500,6.048087,6.509673,6.798467,6.991677
1,3,0.173800,6.376200,0.117270,5.091884,5.240176,5.475224,5.888401,6.376200,6.896916,7.396315,7.708457,7.917170
1,4,0.155300,7.002300,0.113160,5.639453,5.797036,6.046674,6.485141,7.002300,7.553872,8.082488,8.412738,8.633502
1,5,0.139500,7.510500,0.110800,6.078740,6.244361,6.506686,6.967323,7.510500,8.089727,8.644805,8.991588,9.223408
1,6,0.125700,7.934000,0.109580,6.438658,6.611593,6.885520,7.366594,7.934000,8.539253,9.119481,9.482088,9.724538
1,7,0.113400,8.297000,0.109020,6.742329,6.922018,7.206699,7.706828,8.297000,8.926899,9.531114,9.908893,10.161566
1,8,0.102100,8.615100,0.108820,7.005229,7.191153,7.485787,8.003635,8.615100,9.268188,9.895098,10.287290,10.549699
1,9,0.091700,8.901400,0.108810,7.239788,7.431524,7.735455,8.269904,8.901400,9.576393,10.224823,10.630720,10.902403
1,10,0.082000,9.164900,0.108910,7.454226,7.651449,7.964172,8.514357,9.164900,9.860790,10.529811,10.948853,11.229442
1,11,0.073000,9.412200,0.109060,7.654650,7.857102,8.178211,8.743428,9.412200,10.128129,10.816935,11.248624,11.537790
1,12,0.064400,9.647900,0.109250,7.844943,8.052446,8.381663,8.961437,9.647900,10.383321,11.091410,11.535445,11.832992
1,13,0.056300,9.874900,0.109490,8.027251,8.239715,8.576899,9.170999,9.874900,10.629568,11.356731,11.812995,12.118849
1,14,0.048700,10.095300,0.109760,8.203546,8.420896,8.765936,9.374171,10.095300,10.869006,11.615058,12.083441,12.397533
1,15,0.041300,10.310800,0.110070,8.375074,8.597284,8.950142,9.572466,10.310800,11.103559,11.868550,12.349103,12.671475
1,16,0.034300,10.522800,0.110410,8.543065,8.770131,9.130806,9.767230,10.522800,11.334666,12.118673,12.611453,12.942149
1,17,0.027500,10.731900,0.110790,8.707852,8.939797,9.308330,9.958947,10.731900,11.563071,12.366321,12.871492,13.210629
1,18,0.021100,10.938500,0.111190,8.870023,9.106854,9.483262,10.148108,10.938500,11.789055,12.611642,13.129271,13.476898
1,19,0.014800,11.143000,0.111640,9.029434,9.271208,9.655592,10.334876,11.143000,12.013307,12.855640,13.386011,13.742328
1,20,0.008700,11.346200,0.112110,9.187192,9.433940,9.826354,10.520186,11.346200,12.236462,13.098767,13.642038,14.007159
1,21,0.002900,11.548600,0.112610,9.343489,9.595277,9.995830,10.704420,11.548600,12.459146,13.341774,13.898180,14.272271
1,22,-0.002800,11.750400,0.113140,9.498504,9.755395,10.164195,10.887758,11.750400,12.681596,13.584945,14.154762,14.538017
1,23,-0.008300,11.951400,0.113690,9.652212,9.914253,10.331381,11.070077,11.951400,12.903516,13.827885,14.411317,14.803880
1,24,-0.013700,12.151500,0.114260,9.804538,10.071770,10.497300,11.251281,12.151500,13.124812,14.070510,14.667772,15.069800
2,0,0.380900,3.232200,0.141710,2.440207,2.532088,2.677542,2.932542,3.232200,3.550112,3.852896,4.041036,4.166344
2,1,0.171400,4.187300,0.137240,3.215627,3.326140,3.502255,3.814522,4.187300,4.589772,4.979837,5.225537,5.390599
2,2,0.096200,5.128200,0.130000,4.004035,4.131640,4.335098,4.696245,5.128200,5.595751,6.050209,6.337185,6.530300
2,3,0.040200,5.845800,0.126190,4.605358,4.745847,4.969999,5.368377,5.845800,6.363830,6.868703,7.188228,7.403564
2,4,-0.005000,6.423700,0.124020,5.087816,5.238763,5.479774,5.908679,6.423700,6.983856,7.531176,7.878293,8.112548
2,5,-0.043000,6.898500,0.122740,5.482540,5.642167,5.897221,6.351710,6.898500,7.494566,8.078381,8.449378,8.700074
2,6,-0.075600,7.297000,0.122040,5.811712,5.978775,6.245905,6.722520,7.297000,7.924626,8.540770,8.933052,9.198458
2,7,-0.103900,7.642200,0.121780,6.093976,6.267727,6.545752,7.042434,7.642200,8.298852,8.944936,9.357029,9.636169
2,8,-0.128800,7.948700,0.121810,6.342034,6.521948,6.810038,7.325339,7.948700,8.632598,9.306943,9.737817,10.030013
2,9,-0.150700,8.225400,0.121990,6.564275,6.749901,7.047340,7.579982,8.225400,8.934872,9.635850,10.084478,10.389040
2,10,-0.170000,8.480000,0.122230,6.767794,6.958766,7.264957,7.813859,8.480000,9.213555,9.939674,10.405095,10.721369
2,11,-0.187200,8.719200,0.122470,6.958683,7.154707,7.469171,8.033449,8.719200,9.475568,10.225531,10.706895,11.034297
2,12,-0.202400,8.948100,0.122680,7.141387,7.342249,7.664634,8.243617,8.948100,9.726239,10.498944,10.995512,11.333525
2,13,-0.215800,9.169900,0.122830,7.318888,7.524408,7.854407,8.447494,9.169900,9.968820,10.763192,11.274227,11.622331
2,14,-0.227800,9.387000,0.122940,7.492937,7.702998,8.040410,8.647208,9.387000,10.206036,11.021344,11.546342,11.904180
2,15,-0.238400,9.600800,0.122990,7.664939,7.879431,8.224064,8.844180,9.600800,10.439240,11.274679,11.813075,12.180240
2,16,-0.247800,9.812400,0.123030,7.835147,8.054040,8.405840,9.039150,9.812400,10.669966,11.525205,12.076754,12.453066
